Time	Gap	Axial force
s	µm	N
0.00000	476.426	9.84192e-4
5.44000e-4	476.426	5.76019e-4
1.56800e-3	476.426	7.43866e-4
2.59200e-3	476.426	1.08337e-3
3.61600e-3	476.426	4.69208e-4
4.64000e-3	476.426	-6.63757e-4
5.66400e-3	476.426	-1.23978e-3
6.68800e-3	476.426	-6.52313e-4
7.71200e-3	476.426	6.71387e-4
8.73600e-3	476.426	1.55640e-3
9.76000e-3	476.426	1.54114e-3
0.0107840	476.426	9.04083e-4
0.0118080	476.426	5.14984e-4
0.0128320	476.426	7.36237e-4
0.0138560	476.426	1.45721e-3
0.0148800	476.387	2.33078e-3
0.0159040	476.387	2.57492e-3
0.0169280	476.387	1.95694e-3
0.0179520	476.387	6.37054e-4
0.0189760	476.387	-4.73022e-4
0.0200000	476.387	-3.96729e-4
0.0210240	476.387	6.17981e-4
0.0220480	476.387	1.49536e-3
0.0230720	476.387	1.78146e-3
0.0240960	476.387	1.52206e-3
0.0251200	476.387	2.70844e-3
0.0261440	476.387	6.66046e-3
0.0271680	476.387	0.0108414
0.0281920	476.387	0.0118065
0.0292160	476.387	8.20541e-3
0.0302400	476.387	3.52478e-3
0.0312640	476.387	1.51825e-3
0.0322880	476.387	4.03595e-3
0.0333120	476.387	9.18198e-3
0.0343360	476.387	0.0129623
0.0353600	476.387	0.0131111
0.0363840	476.387	0.0103149
0.0374080	476.344	7.28989e-3
0.0384320	476.344	6.61850e-3
0.0394560	476.344	8.59070e-3
0.0404800	476.344	0.0114250
0.0420160	476.344	0.0124245
0.0440640	476.344	6.99615e-3
0.0461120	476.344	8.79288e-3
0.0481600	476.344	0.0125580
0.0502080	476.047	0.0123177
0.0522560	476.047	0.0144997
0.0543040	476.047	0.0125999
0.0563520	476.047	0.0112762
0.0584000	476.047	0.0156937
0.0604480	476.047	0.0168190
0.0624960	476.047	0.0133171
0.0645440	476.047	0.0142975
0.0665920	476.047	0.0178719
0.0686400	476.047	0.0141602
0.0706880	476.047	0.0139923
0.0727360	476.047	0.0172806
0.0747840	476.047	0.0203247
0.0768320	476.047	0.0256844
0.0788800	476.047	0.0192680
0.0809280	476.047	0.0155640
0.0829760	475.867	0.0233345
0.0850240	475.867	0.0247231
0.0870720	475.867	0.0203209
0.0891200	475.867	0.0252419
0.0911680	475.867	0.0277519
0.0932160	475.867	0.0207100
0.0952640	475.867	0.0192909
0.0973120	475.867	0.0242386
0.0993600	475.867	0.0238228
0.101408	475.867	0.0211411
0.103456	475.867	0.0257149
0.105504	475.867	0.0250397
0.107552	475.508	0.0209923
0.109600	475.508	0.0266228
0.111648	475.508	0.0277061
0.113696	475.508	0.0233612
0.115744	475.508	0.0253296
0.117792	475.305	0.0267906
0.119840	475.305	0.0253448
0.121888	475.305	0.0279198
0.124960	475.305	0.0269127
0.129056	475.305	0.0344048
0.133152	475.305	0.0281677
0.137248	475.305	0.0322914
0.141344	475.125	0.0327568
0.145440	475.125	0.0292091
0.149536	475.125	0.0307999
0.153632	475.125	0.0289955
0.157728	475.125	0.0335312
0.161824	475.125	0.0279007
0.165920	474.887	0.0358543
0.170016	474.887	0.0317802
0.174112	474.887	0.0369835
0.178208	474.707	0.0341225
0.182304	474.707	0.0350342
0.186400	474.707	0.0378685
0.190496	474.707	0.0332909
0.194592	474.707	0.0376740
0.198688	474.707	0.0357475
0.202784	474.508	0.0354271
0.206880	474.508	0.0408974
0.210976	474.508	0.0322609
0.215072	474.508	0.0404129
0.219168	474.508	0.0383720
0.223264	474.508	0.0408974
0.227360	474.285	0.0387917
0.231456	474.285	0.0406113
0.235552	474.285	0.0390091
0.239648	473.945	0.0380135
0.243744	473.945	0.0357323
0.247840	473.945	0.0402069
0.251936	473.945	0.0356216
0.256032	473.945	0.0407448
