Time	Gap	Axial force
s	µm	N
0.00000	655.707	-1.52588e-5
5.44000e-4	655.707	-3.05176e-5
1.56800e-3	655.707	1.44958e-4
2.59200e-3	655.707	3.96729e-4
3.61600e-3	655.707	4.65393e-4
4.64000e-3	655.707	2.44141e-4
5.66400e-3	655.707	2.36511e-4
6.68800e-3	655.707	1.16348e-3
7.71200e-3	655.707	2.44904e-3
8.73600e-3	655.707	2.47955e-3
9.76000e-3	655.707	4.69208e-4
0.0107840	655.707	-1.91498e-3
0.0118080	655.707	-3.17001e-3
0.0128320	655.707	-2.26974e-3
0.0138560	655.707	-2.40326e-4
0.0148800	655.707	9.04083e-4
0.0159040	655.707	6.98090e-4
0.0169280	655.707	-3.62396e-4
0.0179520	655.707	-1.23215e-3
0.0189760	655.707	-1.51443e-3
0.0200000	655.707	-4.23431e-4
0.0210240	655.707	9.34601e-4
0.0220480	655.707	2.78473e-3
0.0230720	655.707	4.85611e-3
0.0240960	655.707	5.96619e-3
0.0251200	655.707	4.65012e-3
0.0261440	655.707	7.62939e-4
0.0271680	655.707	-3.77655e-3
0.0281920	655.707	-5.54276e-3
0.0292160	655.707	-3.45612e-3
0.0302400	655.707	4.23431e-4
0.0312640	655.605	3.19290e-3
0.0322880	655.605	3.66592e-3
0.0333120	655.605	2.18201e-3
0.0343360	655.605	2.40326e-4
0.0353600	655.605	-4.31061e-4
0.0363840	655.605	1.15204e-3
0.0374080	655.605	3.54767e-3
0.0384320	655.605	4.97055e-3
0.0394560	655.605	3.96729e-3
0.0404800	655.605	1.36948e-3
0.0420160	655.605	-2.28882e-5
0.0440640	655.406	4.63104e-3
0.0461120	655.406	7.01904e-3
0.0481600	655.406	9.21249e-3
0.0502080	655.406	3.42178e-3
0.0522560	655.406	-2.94876e-3
0.0543040	655.406	2.81525e-3
0.0563520	655.406	5.48553e-3
0.0584000	655.406	1.15204e-3
0.0604480	655.406	1.71661e-3
0.0624960	655.406	9.35745e-3
0.0645440	655.406	9.88007e-3
0.0665920	655.406	1.23215e-3
0.0686400	655.406	-7.97272e-4
0.0706880	655.406	5.51987e-3
0.0727360	655.406	5.11169e-3
0.0747840	655.188	7.36237e-4
0.0768320	655.188	2.95258e-3
0.0788800	655.188	6.80923e-3
0.0809280	655.188	3.08990e-3
0.0829760	655.188	1.56021e-3
0.0850240	655.188	7.11441e-3
0.0870720	655.188	8.23212e-3
0.0891200	655.188	9.34982e-3
0.0911680	655.188	6.12640e-3
0.0932160	655.188	-1.86539e-3
0.0952640	655.188	1.41525e-3
0.0973120	655.188	7.82394e-3
0.0993600	655.188	5.87463e-3
0.101408	654.926	4.79507e-3
0.103456	654.926	9.63593e-3
0.105504	654.926	7.11441e-3
0.107552	654.926	4.91714e-3
0.109600	654.926	7.92694e-3
0.111648	654.926	8.41141e-3
0.113696	654.926	8.97217e-3
0.115744	654.707	0.0104141
0.117792	654.707	2.39182e-3
0.119840	654.707	2.44904e-3
0.121888	654.707	9.30023e-3
0.124960	654.707	6.17981e-3
0.129056	654.707	0.0122414
0.133152	654.707	4.36783e-3
0.137248	654.707	8.76236e-3
0.141344	654.488	6.97327e-3
0.145440	654.488	0.0110474
0.149536	654.488	7.49588e-3
0.153632	654.246	0.0100365
0.157728	654.246	0.0153542
0.161824	654.246	4.55475e-3
0.165920	654.246	0.0117569
0.170016	654.246	0.0116463
0.174112	654.246	0.0146332
0.178208	654.246	5.73349e-3
0.182304	654.246	0.0120239
0.186400	654.105	8.59070e-3
0.190496	654.105	9.35364e-3
0.194592	654.105	0.0125999
0.198688	654.105	0.0105019
0.202784	653.785	0.0178223
0.206880	653.785	7.93076e-3
0.210976	653.785	0.0113754
0.215072	653.707	0.0135193
0.219168	653.707	0.0192223
0.223264	653.707	8.16345e-3
0.227360	653.707	0.0132637
0.231456	653.707	9.15909e-3
0.235552	653.707	0.0146141
0.239648	653.508	0.0136757
0.243744	653.508	0.0114136
0.247840	653.508	0.0186005
0.251936	653.246	7.75146e-3
0.256032	653.246	0.0158844
0.260128	653.246	0.0150223
0.264224	653.246	0.0153503
0.268320	653.246	0.0151672
0.272416	653.246	0.0143166
0.276512	653.027	0.0122948
0.280608	653.027	0.0167732
0.284704	653.027	0.0129089
0.290848	652.785	0.0183067
0.299040	652.785	0.0187721
0.307232	652.785	0.0186119
0.315424	652.586	0.0138702
0.323616	652.586	0.0197983
0.331808	652.348	0.0188675
0.340000	652.348	0.0189972
0.348192	652.348	0.0171547
0.356384	652.305	0.0140114
0.364576	652.305	0.0233269
0.372768	652.066	0.0207634
0.380960	652.066	0.0213203
0.389152	651.785	0.0131073
0.397344	651.785	0.0200653
0.405536	651.547	0.0212212
0.413728	651.547	0.0250969
0.421920	651.387	0.0215034
0.430112	651.387	0.0211220
0.438304	651.125	0.0200691
0.446496	651.125	0.0236053
0.454688	651.125	0.0204468
0.462880	651.125	0.0197639
0.471072	651.125	0.0180779
0.479264	650.867	0.0239372
0.487456	650.867	0.0276489
0.495648	650.867	0.0259323
0.503840	650.586	0.0215111
0.512032	650.586	0.0182190
0.520224	650.348	0.0243568
0.528416	650.348	0.0238342
0.536608	650.348	0.0281792
0.544800	650.348	0.0232697
0.552992	650.348	0.0225296
0.561184	650.285	0.0239754
0.569376	650.086	0.0220947
0.577568	650.086	0.0230904
0.585760	649.805	0.0208626
0.593952	649.805	0.0252380
