Time	Gap	Axial force
s	µm	N
-2.28806e-8	748.160	4.44794e-3
5.43989e-4	748.160	6.23703e-3
1.56800e-3	748.160	6.36673e-3
2.59200e-3	748.160	3.40652e-3
3.61601e-3	748.160	-1.22070e-3
4.64002e-3	748.160	-5.17273e-3
5.66403e-3	748.160	-5.65720e-3
6.68798e-3	748.160	-3.12042e-3
7.71198e-3	748.160	1.90735e-5
8.73599e-3	748.160	1.36185e-3
9.76000e-3	748.160	9.04083e-4
0.0107840	748.160	-8.08716e-4
0.0118080	748.160	-1.22452e-3
0.0128320	748.160	-6.21796e-4
0.0138560	748.160	8.50677e-4
0.0148800	748.160	2.46048e-3
0.0159040	748.160	2.75040e-3
0.0169280	748.160	1.68228e-3
0.0179520	748.160	1.29700e-4
0.0189760	748.059	-4.80652e-4
0.0200000	748.059	7.62939e-6
0.0210240	748.059	1.01089e-3
0.0220480	748.059	1.62888e-3
0.0230720	748.059	1.59073e-3
0.0240960	748.059	1.15585e-3
0.0251200	748.059	1.51825e-3
0.0261440	748.059	4.07410e-3
0.0271680	748.059	7.67517e-3
0.0281920	748.059	9.16672e-3
0.0292160	748.059	5.45502e-3
0.0302400	748.059	-1.51443e-3
0.0312640	747.961	-9.59015e-3
0.0322880	747.961	-8.51059e-3
0.0333120	747.961	-3.17383e-3
0.0343360	747.961	2.09808e-3
0.0353600	747.961	4.74167e-3
0.0363840	747.961	3.33405e-3
0.0374080	747.961	2.09808e-4
0.0384320	747.961	-1.90353e-3
0.0394560	747.961	-1.16730e-3
0.0404800	747.961	1.07193e-3
0.0420160	747.961	3.25775e-3
0.0440640	747.961	-3.96729e-4
0.0461120	747.961	-1.09863e-3
0.0481600	747.961	2.22778e-3
0.0502080	747.961	1.49536e-3
0.0522560	747.961	1.49918e-3
0.0543040	747.961	6.72913e-3
0.0563520	747.660	-9.53674e-5
0.0584000	747.660	-5.97382e-3
0.0604480	747.660	8.62122e-4
0.0624960	747.660	4.36401e-3
0.0645440	747.660	-1.62888e-3
0.0665920	747.660	-3.67355e-3
0.0686400	747.660	4.23431e-4
0.0706880	747.660	-1.22070e-4
0.0727360	747.660	-1.63651e-3
0.0747840	747.660	2.97165e-3
0.0768320	747.660	3.14713e-3
0.0788800	747.660	-2.25067e-4
0.0809280	747.660	6.79016e-4
0.0829760	747.441	8.16345e-4
0.0850240	747.441	-1.63269e-3
0.0870720	747.441	1.17493e-3
0.0891200	747.441	7.66373e-3
0.0911680	747.441	1.67084e-3
0.0932160	747.441	-5.31006e-3
0.0952640	747.441	1.71661e-3
0.0973120	747.320	4.54330e-3
0.0993600	747.320	-2.13623e-3
0.101408	747.320	-2.95258e-3
0.103456	747.320	2.04849e-3
0.105504	747.320	7.43866e-4
0.107552	747.320	-1.67847e-3
0.109600	747.320	1.12534e-3
0.111648	747.320	3.50571e-3
0.113696	747.320	3.78418e-3
0.115744	747.320	5.51605e-3
0.117792	747.320	-2.26974e-3
0.119840	747.039	-5.16891e-3
0.121888	747.039	-6.02722e-4
0.124960	747.039	-2.21252e-4
