Time	Gap	Axial force
s	µm	N
0.00000	476.992	-1.10626e-4
5.44000e-4	476.992	6.82831e-4
1.56800e-3	476.992	1.03760e-3
2.59200e-3	476.992	4.80652e-4
3.61600e-3	476.992	-2.74658e-4
4.64000e-3	476.992	-4.53949e-4
5.66400e-3	476.992	2.05994e-4
6.68800e-3	476.992	1.12915e-3
7.71200e-3	476.992	1.33514e-3
8.73600e-3	476.992	7.74384e-4
9.76000e-3	476.992	9.15527e-5
0.0107840	476.992	-1.41144e-4
0.0118080	476.992	3.89099e-4
0.0128320	476.992	1.24741e-3
0.0138560	476.992	1.71661e-3
0.0148800	476.992	1.46866e-3
0.0159040	476.992	1.49536e-3
0.0169280	476.992	3.17001e-3
0.0179520	476.992	6.20651e-3
0.0189760	476.992	8.04138e-3
0.0200000	476.992	7.06482e-3
0.0210240	476.992	4.10080e-3
0.0220480	476.992	2.20871e-3
0.0230720	476.992	2.82669e-3
0.0240960	476.992	5.61905e-3
0.0251200	476.992	9.41849e-3
0.0261440	476.992	0.0123138
0.0271680	476.992	0.0129433
0.0281920	476.992	0.0111389
0.0292160	476.871	8.16345e-3
0.0302400	476.871	6.64902e-3
0.0312640	476.871	8.84247e-3
0.0322880	476.871	0.0110130
0.0333120	476.871	0.0120010
0.0343360	476.871	0.0113335
0.0353600	476.871	9.82285e-3
0.0363840	476.871	8.84628e-3
0.0374080	476.871	9.35364e-3
0.0384320	476.871	0.0113487
0.0394560	476.871	0.0131340
0.0404800	476.871	0.0130615
0.0420160	476.570	0.0103912
0.0440640	476.570	0.0139236
0.0461120	476.570	0.0145836
0.0481600	476.570	9.58252e-3
0.0502080	476.570	0.0113716
0.0522560	476.570	0.0146980
0.0543040	476.570	0.0116959
0.0563520	476.570	0.0115967
0.0584000	476.570	0.0142441
0.0604480	476.570	0.0126114
0.0624960	476.570	0.0107155
0.0645440	476.570	0.0126266
0.0665920	476.570	0.0132599
0.0686400	476.570	0.0117493
0.0706880	476.570	0.0189476
0.0727360	476.570	0.0240250
0.0747840	476.352	0.0104446
0.0768320	476.352	0.0158043
0.0788800	476.352	0.0243607
0.0809280	476.352	0.0192261
0.0829760	476.352	0.0175896
0.0850240	476.352	0.0243759
0.0870720	476.352	0.0229034
0.0891200	476.352	0.0185661
0.0911680	476.352	0.0213509
0.0932160	476.352	0.0242500
0.0952640	476.352	0.0205612
0.0973120	476.012	0.0205421
0.0993600	476.012	0.0252075
0.101408	476.012	0.0241013
0.103456	476.012	0.0187683
0.105504	476.012	0.0212173
0.107552	476.012	0.0225067
0.109600	475.992	0.0209579
0.111648	475.992	0.0213280
0.113696	475.992	0.0228577
0.115744	475.992	0.0217400
0.117792	475.992	0.0195389
0.119840	475.992	0.0204430
0.121888	475.992	0.0197144
0.124960	475.992	0.0240707
0.129056	475.992	0.0239487
0.133152	475.750	0.0295906
0.137248	475.750	0.0255852
0.141344	475.750	0.0307961
0.145440	475.750	0.0265923
0.149536	475.750	0.0290298
0.153632	475.750	0.0271912
0.157728	475.430	0.0261765
0.161824	475.430	0.0269241
0.165920	475.352	0.0258675
0.170016	475.352	0.0301819
0.174112	475.352	0.0282974
0.178208	475.352	0.0275497
0.182304	475.352	0.0324707
0.186400	475.352	0.0322075
0.190496	475.352	0.0362434
0.194592	475.090	0.0326767
0.198688	475.090	0.0347786
0.202784	475.090	0.0323372
0.206880	474.852	0.0329971
0.210976	474.852	0.0322838
0.215072	474.852	0.0350723
0.219168	474.852	0.0307846
0.223264	474.852	0.0354996
0.227360	474.852	0.0333939
0.231456	474.711	0.0351067
0.235552	474.711	0.0356598
0.239648	474.711	0.0340500
0.243744	474.711	0.0413895
0.247840	474.711	0.0345230
0.251936	474.711	0.0384178
0.256032	474.492	0.0366745
0.260128	474.492	0.0367470
0.264224	474.492	0.0412102
0.268320	474.270	0.0358658
0.272416	474.270	0.0392761
0.276512	474.270	0.0376053
0.280608	474.270	0.0382919
0.284704	474.270	0.0392151
0.290848	473.949	0.0378151
0.299040	473.949	0.0381889
0.307232	473.949	0.0388336
0.315424	473.891	0.0402946
0.323616	473.891	0.0396729
0.331808	473.891	0.0452461
0.340000	473.609	0.0406799
0.348192	473.410	0.0411720
0.356384	473.410	0.0409622
0.364576	473.414	0.0432053
0.372768	473.234	0.0442467
0.380960	473.031	0.0403824
0.389152	473.031	0.0403137
0.397344	472.871	0.0400772
0.405536	472.871	0.0417366
0.413728	472.871	0.0451508
0.421920	472.672	0.0445747
0.430112	472.672	0.0484581
0.438304	472.672	0.0487099
0.446496	472.672	0.0462685
0.454688	472.672	0.0419159
0.462880	472.293	0.0465088
0.471072	472.293	0.0499268
0.479264	472.012	0.0462837
0.487456	472.012	0.0421982
0.495648	472.012	0.0425415
0.503840	471.953	0.0415001
0.512032	471.953	0.0441055
0.520224	471.633	0.0447578
0.528416	471.633	0.0456543
0.536608	471.633	0.0478516
0.544800	471.633	0.0449905
0.552992	471.492	0.0434151
0.561184	471.293	0.0472298
0.569376	471.293	0.0464783
0.577568	471.133	0.0522499
0.585760	471.133	0.0463791
0.593952	471.133	0.0464630
0.602144	470.910	0.0468941
0.610336	470.910	0.0476875
0.622624	470.773	0.0448608
0.639008	470.570	0.0505943
0.655392	470.230	0.0512505
0.671776	470.230	0.0475502
0.688160	470.172	0.0474014
0.704544	469.914	0.0474663
0.720928	469.594	0.0540199
0.737312	469.574	0.0517845
0.753696	469.574	0.0501900
0.770080	469.273	0.0480690
0.786464	469.234	0.0486488
0.802848	468.934	0.0513611
0.819232	468.711	0.0519600
0.835616	468.453	0.0564651
0.852000	468.453	0.0499382
0.868384	468.371	0.0517082
0.884768	468.094	0.0544205
0.901152	467.871	0.0517807
0.917536	467.754	0.0495987
