Time	Gap	Axial force
s	µm	N
0.00000	958.711	2.89917e-4
5.44000e-4	958.711	1.19781e-3
1.56800e-3	958.691	1.64795e-3
2.59200e-3	958.691	1.64413e-3
3.61600e-3	958.691	1.89209e-3
4.64000e-3	958.691	2.58636e-3
5.66400e-3	958.691	3.45993e-3
6.68800e-3	958.691	4.11987e-3
7.71200e-3	958.691	3.55148e-3
8.73600e-3	958.691	7.55310e-4
9.76000e-3	958.691	-2.85339e-3
0.0107840	958.691	-4.92477e-3
0.0118080	958.691	-7.40051e-4
0.0128320	958.691	4.31442e-3
0.0138560	958.691	5.85556e-3
0.0148800	958.691	2.76947e-3
0.0159040	958.691	-2.46429e-3
0.0169280	958.691	-4.87900e-3
0.0179520	958.691	-3.20816e-3
0.0189760	958.691	7.47681e-4
0.0200000	958.691	3.63922e-3
0.0210240	958.691	4.22668e-3
0.0220480	958.691	2.46429e-3
0.0230720	958.691	-6.14166e-4
0.0240960	958.691	-2.91061e-3
0.0251200	958.691	-2.59018e-3
0.0261440	958.691	-3.85284e-4
0.0271680	958.531	1.43433e-3
0.0281920	958.531	1.75095e-3
0.0292160	958.531	8.54492e-4
0.0302400	958.531	-4.38690e-4
0.0312640	958.531	-1.12534e-3
0.0322880	958.531	-4.99725e-4
0.0333120	958.531	3.35693e-4
0.0343360	958.531	9.53674e-4
0.0353600	958.531	1.70517e-3
0.0363840	958.531	3.58963e-3
0.0374080	958.531	6.82068e-3
0.0384320	958.531	9.13620e-3
0.0394560	958.531	7.71713e-3
0.0404800	958.531	1.94550e-3
0.0420160	958.531	-6.36292e-3
0.0440640	958.531	-6.86646e-5
0.0461120	958.453	2.62451e-3
0.0481600	958.453	-1.48010e-3
0.0502080	958.453	4.57764e-4
0.0522560	958.453	4.73404e-3
0.0543040	958.453	9.68933e-4
0.0563520	958.453	4.61578e-4
0.0584000	958.453	2.76947e-3
0.0604480	958.453	4.31824e-3
0.0624960	958.453	8.06808e-3
0.0645440	958.453	6.94275e-4
0.0665920	958.453	-5.15747e-3
0.0686400	958.453	2.03323e-3
0.0706880	958.273	5.26810e-3
0.0727360	958.273	1.59454e-3
0.0747840	958.273	2.04468e-3
0.0768320	958.273	6.35147e-3
0.0788800	958.273	6.90079e-3
0.0809280	958.273	-1.67847e-3
0.0829760	958.273	-5.32532e-3
0.0850240	958.273	2.34604e-3
0.0870720	958.273	4.42886e-3
0.0891200	958.273	9.30786e-4
0.0911680	958.273	2.28882e-3
0.0932160	958.273	4.80270e-3
0.0952640	958.273	1.18637e-3
0.0973120	958.031	-5.14984e-4
0.0993600	958.031	2.88773e-3
0.101408	958.031	3.97110e-3
0.103456	958.031	6.01196e-3
0.105504	958.031	7.15637e-3
0.107552	958.031	-1.88446e-3
0.109600	957.793	-1.80054e-3
0.111648	957.793	5.69916e-3
0.113696	957.793	4.11987e-3
0.115744	957.793	-6.40869e-4
0.117792	957.793	3.76892e-3
0.119840	957.793	6.17218e-3
0.121888	957.793	8.25500e-3
0.124960	957.793	-1.30463e-3
0.129056	957.793	4.39072e-3
0.133152	957.793	2.34985e-3
0.137248	957.555	2.07138e-3
0.141344	957.555	5.58090e-3
0.145440	957.555	5.17273e-3
0.149536	957.313	4.64630e-3
0.153632	957.313	1.69373e-3
0.157728	957.313	1.52588e-4
0.161824	957.313	6.64520e-3
0.165920	957.313	3.56293e-3
