Time	Gap	Axial force
s	µm	N
0.00000	477.125	-1.34659e-3
5.44000e-4	477.125	-6.71387e-4
1.56800e-3	477.125	1.19781e-3
2.59200e-3	477.125	2.75803e-3
3.61600e-3	477.066	3.24249e-3
4.64000e-3	477.066	2.96402e-3
5.66400e-3	477.066	3.53622e-3
6.68800e-3	477.066	5.80215e-3
7.71200e-3	477.066	8.09860e-3
8.73600e-3	477.066	7.85446e-3
9.76000e-3	477.066	4.46701e-3
0.0107840	477.066	-8.39233e-5
0.0118080	477.066	-2.66647e-3
0.0128320	477.066	-2.11716e-3
0.0138560	477.066	2.42615e-3
0.0148800	477.066	4.43649e-3
0.0159040	477.066	3.69263e-3
0.0169280	477.066	1.86920e-3
0.0179520	477.066	8.50677e-4
0.0189760	477.066	2.14005e-3
0.0200000	477.066	4.90570e-3
0.0210240	477.066	6.86264e-3
0.0220480	477.066	6.90079e-3
0.0230720	477.066	5.22232e-3
0.0240960	477.066	3.05557e-3
0.0251200	477.066	1.94931e-3
0.0261440	477.066	2.74658e-3
0.0271680	477.066	4.67682e-3
0.0281920	477.066	6.16074e-3
0.0292160	476.828	6.13785e-3
0.0302400	476.828	5.09644e-3
0.0312640	476.828	3.68118e-3
0.0322880	476.828	2.91824e-3
0.0333120	476.828	4.01688e-3
0.0343360	476.746	7.26700e-3
0.0353600	476.746	0.0107918
0.0363840	476.746	8.86536e-3
0.0374080	476.746	4.49753e-3
0.0384320	476.746	1.17111e-3
0.0394560	476.746	7.93457e-4
0.0404800	476.746	3.49426e-3
0.0420160	476.746	9.38034e-3
0.0440640	476.746	6.91605e-3
0.0461120	476.746	6.73294e-3
0.0481600	476.746	0.0104485
0.0502080	476.746	8.80051e-3
0.0522560	476.746	5.23376e-3
0.0543040	476.746	7.12967e-3
0.0563520	476.746	9.11331e-3
0.0584000	476.746	6.67191e-3
0.0604480	476.746	0.0117149
0.0624960	476.746	0.0187950
0.0645440	476.746	8.03375e-3
0.0665920	476.527	1.80817e-3
0.0686400	476.527	0.0126038
0.0706880	476.527	0.0129433
0.0727360	476.527	7.42722e-3
0.0747840	476.527	0.0109711
0.0768320	476.527	0.0129204
0.0788800	476.527	9.22394e-3
0.0809280	476.527	0.0146484
0.0829760	476.527	0.0197716
0.0850240	476.527	0.0106277
0.0870720	476.527	8.62885e-3
0.0891200	476.207	0.0153923
0.0911680	476.207	0.0136299
0.0932160	476.207	0.0105972
0.0952640	476.207	0.0172691
0.0973120	476.207	0.0201759
0.0993600	476.207	0.0138969
0.101408	476.207	0.0137291
0.103456	475.926	0.0156784
0.105504	475.926	0.0148849
0.107552	475.926	0.0139084
0.109600	475.926	0.0149994
0.111648	475.926	0.0186234
0.113696	475.926	0.0213127
0.115744	475.926	0.0155411
0.117792	475.922	0.0114594
0.119840	475.922	0.0185966
0.121888	475.922	0.0188255
0.124960	475.922	0.0179977
0.129056	475.922	0.0161896
0.133152	475.883	0.0271072
0.137248	475.883	0.0133629
0.141344	475.883	0.0212631
0.145440	475.621	0.0229530
0.149536	475.621	0.0180016
0.153632	475.621	0.0242043
0.157728	475.621	0.0196877
0.161824	475.621	0.0215416
0.165920	475.363	0.0332375
0.170016	475.363	0.0120544
0.174112	475.363	0.0229149
0.178208	475.363	0.0245323
0.182304	475.145	0.0181427
0.186400	475.145	0.0244904
0.190496	475.145	0.0238075
0.194592	475.145	0.0254517
0.198688	475.145	0.0233231
0.202784	475.145	0.0275040
0.206880	475.023	0.0268631
0.210976	475.023	0.0290527
0.215072	475.023	0.0348892
0.219168	475.023	0.0257492
0.223264	475.023	0.0300980
0.227360	475.023	0.0296402
0.231456	474.762	0.0318604
0.235552	474.762	0.0268936
0.239648	474.762	0.0256386
0.243744	474.523	0.0268669
0.247840	474.523	0.0347557
0.251936	474.523	0.0247574
0.256032	474.523	0.0323448
0.260128	474.523	0.0302582
0.264224	474.523	0.0343475
0.268320	474.402	0.0347366
0.272416	474.402	0.0317574
0.276512	474.402	0.0328712
0.280608	474.242	0.0364990
0.284704	474.242	0.0299072
0.290848	474.242	0.0330048
0.299040	474.242	0.0409889
0.307232	474.242	0.0388985
0.315424	473.965	0.0356750
0.323616	473.645	0.0380898
0.331808	473.645	0.0460930
0.340000	473.645	0.0418816
0.348192	473.605	0.0367393
0.356384	473.605	0.0374985
0.364576	473.383	0.0440865
