Time	Gap	Axial force
s	µm	N
0.00000	595.965	-8.77380e-4
5.44000e-4	595.965	1.64032e-4
1.56800e-3	595.965	2.63214e-4
2.59200e-3	595.965	-9.53674e-5
3.61600e-3	595.965	-6.90460e-4
4.64000e-3	595.965	-1.11389e-3
5.66400e-3	595.965	-4.31061e-4
6.68800e-3	595.965	7.82013e-4
7.71200e-3	595.965	1.78146e-3
8.73600e-3	595.965	2.77710e-3
9.76000e-3	595.965	4.57382e-3
0.0107840	595.965	6.53076e-3
0.0118080	595.965	6.97708e-3
0.0128320	595.965	4.59290e-3
0.0138560	595.965	2.40326e-4
0.0148800	595.965	-2.28500e-3
0.0159040	595.965	-1.32751e-3
0.0169280	595.965	1.80817e-3
0.0179520	595.965	4.44412e-3
0.0189760	595.965	5.18036e-3
0.0200000	595.965	4.40598e-3
0.0210240	595.965	3.10516e-3
0.0220480	595.863	2.31171e-3
0.0230720	595.863	2.95258e-3
0.0240960	595.863	4.39835e-3
0.0251200	595.863	5.69916e-3
0.0261440	595.863	5.50461e-3
0.0271680	595.863	4.26102e-3
0.0281920	595.863	3.21579e-3
0.0292160	595.863	3.10898e-3
0.0302400	595.863	4.04739e-3
0.0312640	595.863	5.32913e-3
0.0322880	595.863	5.82886e-3
0.0333120	595.863	5.43976e-3
0.0343360	595.863	5.64957e-3
0.0353600	595.863	7.71332e-3
0.0363840	595.863	9.88770e-3
0.0374080	595.863	9.10187e-3
0.0384320	595.863	4.92477e-3
0.0394560	595.863	3.54767e-4
0.0404800	595.863	-9.42230e-4
0.0420160	595.863	4.70734e-3
0.0440640	595.863	7.36237e-3
0.0461120	595.684	3.96347e-3
0.0481600	595.684	6.64139e-3
0.0502080	595.684	7.53784e-3
0.0522560	595.684	4.30679e-3
0.0543040	595.684	5.49698e-3
0.0563520	595.684	7.93457e-3
0.0584000	595.465	9.56726e-3
0.0604480	595.465	0.0130234
0.0624960	595.465	6.99615e-3
0.0645440	595.465	2.50626e-3
0.0665920	595.465	8.29697e-3
0.0686400	595.465	9.56345e-3
0.0706880	595.465	7.06100e-3
0.0727360	595.465	9.10950e-3
0.0747840	595.465	0.0142021
0.0768320	595.465	0.0155220
0.0788800	595.465	6.51169e-3
0.0809280	595.465	6.93512e-3
0.0829760	595.242	0.0131950
0.0850240	595.242	0.0100327
0.0870720	595.242	7.51495e-3
0.0891200	595.242	0.0123749
0.0911680	595.242	0.0114975
0.0932160	595.242	8.39615e-3
0.0952640	595.242	0.0110970
0.0973120	595.242	0.0139503
0.0993600	595.242	0.0135994
0.101408	595.242	0.0163116
0.103456	595.242	0.0139160
0.105504	595.242	6.63757e-3
0.107552	595.004	0.0117073
0.109600	595.004	0.0160027
0.111648	595.004	0.0100174
0.113696	595.004	0.0117149
0.115744	595.004	0.0162277
0.117792	595.004	0.0183449
0.119840	594.785	0.0164299
0.121888	594.785	9.54056e-3
0.124960	594.785	0.0164566
0.129056	594.785	0.0131645
0.133152	594.785	0.0132828
0.137248	594.785	0.0159035
0.141344	594.785	0.0151253
0.145440	594.543	0.0177460
0.149536	594.543	0.0122528
0.153632	594.543	0.0118027
0.157728	594.543	0.0181770
0.161824	594.543	0.0137596
0.165920	594.344	0.0159531
0.170016	594.344	0.0216751
0.174112	594.344	0.0138474
0.178208	594.285	0.0204010
0.182304	594.285	0.0185394
0.186400	594.285	0.0221405
0.190496	594.285	0.0133743
0.194592	594.285	0.0207558
0.198688	594.285	0.0176926
0.202784	593.902	0.0177383
0.206880	593.902	0.0183296
0.210976	593.902	0.0187492
0.215072	593.902	0.0192451
0.219168	593.902	0.0226364
0.223264	593.902	0.0170479
